	1713
darker	1
darkest	2
darkling	2
darkly	3
darkness	20
darknesse	3
darling	3
darnel	1
darnell	1
dart	4
darted	1
darts	1
dash	3
dash'd	2
dashes	1
dashing	1
dasht	2
dash’d	1
dat	8
data	5
date	21
dateless	3
dates	2
daub	2
daub'd	1
daughter	241
daughter's	8
daughter,--have	1
daughter.--my	1
daughter:--yet	1
daughters	48
daughter’s	2
dauies	2
daunce	2
dauncer	1
dauncing	1
daunst	2
daunt	1
dauntlesse	1
dauy	1
daw	1
dawes	1
dawne	1
dawning	3
daws	1
day	379
day's	8
day-bed	1
day-light	2
dayes	28
daylight	8
dayly	1
days	88
day’s	1
dazle	1
de	81
dead	257
dead!--nay	1
dead-killing	1
dead-mens	1
deade	1
deadlie	1
deadly	19
deadmans	1
deaf	3
deafe	2
deafness	1
deaftly	1
deal	16
deal'st	1
deale	5
dealer	1
dealing	5
dealings	3
dealt	3
dear	164
dear-beloved	2
dear-lov'd	1
dear-purchas'd	1
deare	33
deareling	1
dearely	1
dearenesse	1
dearer	8
dearest	21
dearly	15
dearth	4
dearths	1
dear’st	3
death	356
death's	8
death,--dear	1
death-bed	4
death-counterfeiting	1
death-darting	1
death-mark'd	1
death-practis'd	1
deathbed	1
deaths	11
deathsman	1
debarre'd	1
debate	6
debated	1
debatement	1
debateth	1
debating	1
debauched	2
debility	1
debitor	1
debosh'd	1
debosh’d	1
debt	17
debter	1
debtor	2
debts	7
dec	2
decay	14
decay'd	1
decayer	1
decays	2
deceas'd	2
decease	3
deceased	4
deceast	1
deceaues	1
deceit	4
deceitful	1
deceitfull	2
deceits	2
deceiu'd	7
deceiue	6
deceiued	3
deceiuers	1
deceiuing	2
deceiv'd	9
deceivable	1
deceive	6
deceived	5
deceiver	1
deceivest	1
deceiving	1
december	3
december's	1
decernes	1
deci	6
decision	1
decius	17
deck	7
deck'd	3
decking	1
deckt	1
deck’d	2
deck’t	1
declare	1
declension	2
declin'd	1
decline	4
declines	2
declining	3
decoct	1
decreas'd	1
decrease	1
decree	6
decreed	3
decrees	3
decrepit	1
dedicate	4
dedicated	3
dedicates	1
dedication	1
deductible	5
deed	62
deed!--almost	1
deed's	1
deede	5
deedes	3
deeds	37
deem	2
deem'd	2
deep	52
deep-mouth'd	2
deep-revolving	1
deepe	14
deepely	1
deeper	6
deepest	3
deeply	7
deer	9
deer's	1
deere	51
deerely	3
deerer	2
deerest	3
deesse	1
defac'd	3
deface	3
defacer	1
defeat	8
defeate	1
defeated	4
defeats	1
defect	24
defectiue	2
defective	17
defects	9
defence	17
defences	2
defend	29
defendant	3
defended	3
defending	1
defends	1
defensible	1
deferr'd	1
defiance	5
deficient	2
defie	3
defied	1
defies	1
defil'd	2
defiles	1
define	3
definement	1
definitively	1
deflour'd	1
deflowered	1
deform'd	2
deformed	7
deformed'st	1
deformities	1
deformity	3
defunct	2
defunction	1
defus'd	1
defuse	1
defy	9
degenerate	2
degg’d	1
degree	22
degree!--lady	1
degrees	8
deifying	1
deign	1
deigne	1
deity	4
deject	1
dejected	2
delabreth	2
delay	20
delayd	1
delayed	1
delaying	1
delays	1
deletions	5
deliberate	2
delicate	21
delicious	1
deliciousness	1
delight	36
delighted	3
delightful	1
delights	10
delinquents	1
deliuer	13
deliuer'd	2
deliuerance	1
deliuered	3
deliuering	2
deliuers	1
deliver	16
deliver'd	4
delivered	9
delivers	3
delivery	2
deluding	2
deluge	1
delve	1
delver	1
delves	1
dem	38
demand	18
demanded	4
demanding	1
demands	6
deme	5
demeanor	1
dementions	1
demerites	1
demerits	1
demesnes	2
demet	1
demetrius	49
demi-cannon	1
demi-devil	1
demi-natur'd	1
demi-puppets	1
demie	1
demise	1
demonstrable	1
demonstrate	3
demonstrated	1
demonstrating	1
demonstration	1
demonstratiue	1
demure	1
demurely	1
demy-diuell	1
demy-wolues	1
den	6
denay	1
denial	3
denie	10
denied	10
denier	2
denies	4
denmark	21
denmark's	3
denmark.--madam	1
denmark?--what	1
dennis	8
denote	4
denoted	1
denounc'd	1
deny	50
deny'd	5
deny't	1
denying	4
depart	28
departed	2
departest	1
departing	1
departure	4
depend	7
dependants	2
depended	1
depending	1
depends	11
deplore	1
depos'd	1
depose	1
deposed	1
depositaries	1
depraue	1
deprav'd	1
depriv'd	4
deprive	2
depth	3
depute	1
deputing	1
deputy	1
deracinate	1
derby	27
derby's	1
derides	1
derision	4
deriu'd	5
deriuation	1
deriues	1
derivative	15
derive	8
derived	6
derives	1
derogate	1
des	162
desart	1
desartlesse	1
desarts	1
descant	2
descend	8
descended	3
descends	4
descent	4
describ'd	1
describe	2
described	5
descried	2
description	6
descriptions	1
descry	4
desde	4
desdemon	7
desdemona	48
desdemona's	1
desdemonaes	1
desert	21
deserts	6
deseru'd	9
deserue	14
deserued	2
deseruers	1
deserues	8
deseruest	1
deseruing	5
deseruings	2
deserv'd	9
deserv'st	1
deserve	11
deserved	4
deservedly	2
deserves	5
deserving	3
deservings	1
deserv’d	2
desia	1
design	2
design'd	1
designe	1
designement	1
designs	3
desir'd	6
desire	103
desired	3
desires	29
desirest	5
desiring	2
desirous	3
desk	1
desolate	2
desolation	4
desp'rate	4
despair	24
despaire	1
despairing	2
despatch	1
desperate	30
desperately	2
desperation	3
despight	9
despis'd	6
despise	6
despised	7
despiser	1
despising	1
despite	21
despiteful	3
destenie	1
destin'd	1
destinie	3
destinies	2
destiny	8
destin’d	1
destroy	19
destroy'd	1
destroyed	1
destroying	1
destroys	1
destruction	10
detach	5
detail	1
detain	2
detain'd	2
detaine	2
detains	1
detect	1
detecting	1
detector	1
detects	1
determin'd	6
determinate	3
determination	2
determinations	1
determine	17
determined	3
detest	1
detestable	2
detested	5
detests	1
detract	1
detraction	2
detractions	1
deuant	2
deuest	1
deuesting	1
deuice	4
deuided	1
deuill	11
deuill-porter	1
deuils	2
deuin	1
deuis'd	2
deuise	10
deuised	3
deuises	1
deuising	1
deuision	3
deule	1
deules	1
deum	1
deuoted	1
deuotement	1
deuotion	2
deuoure	4
deuoured	1
deuout	2
deuoutly	1
deux	1
device	15
devices	1
devil	53
devil'-there	1
devil's	3
devilish	5
devils	8
devils:--o	1
devis'd	5
devise	11
devised	1
devonshire	1
devote	1
devoted	2
devotion	7
devotion's	1
devour	3
devoured	1
devouring	2
devout	3
devoutly	1
dew	20
dew-dropping	1
dew-lapp’d	1
dew-lapt	1
dewberries	1
dewe	4
dewes	1
dewlop	1
dews	1
dewy	1
dexteriously	1
dexterity	2
diable	1
diablo	1
diadem	2
dial	4
dial's	1
dial-hand	1
dialect	1
dialects	1
diall	1
dialogue	3
dials	1
diameter	1
diamond	2
diamonds	1
dian	3
dian's	2
diana	4
diana's	1
dianaes	1
diane	1
dians	2
diaper	1
dice	5
dicers	1
dick	1
dickon	1
dict	1
diction	1
did	728
did'st	14
didd'st	2
didest	1
dido	8
dido’s	1
didst	80
did’t	1
die	143
die,--as	1
die,--to	2
died	28
died:--they	1
dies	37
dies,--to	1
dies.--i	1
diest	6
diet	6
dieu	10
diff'rence	1
differ	1
difference	15
difference.--there's	1
differences	3
different	11
differs	2
difficile	1
difficult	1
difficulty	1
diffidence	1
diffidences	1
diffus'd	1
diffusest	1
dig	4
digest	6
digested	3
digestion	1
digg'd	2
digging	1
dighton	3
dignified	2
dignifies	1
dignitie	2
dignities	2
dignity	13
digress	1
digressing	1
digs	1
digt	1
dilate	1
dilated	1
dilations	1
dilatory	1
dild	1
diligence	6
diligent	3
diluculo	1
dim	3
dimension	2
dimensions	1
diminish	2
diminish'd	1
diminitiue	1
dimm'd	2
dimme	1
dimming	1
din	4
din'd	2
dine	7
dined	1
diner	1
ding	5
ding-dong	1
dinner	35
dinner-time	1
dinners	2
dint	1
dip	2
dipping	1
dir'st	1
dire	8
direct	20
directed	5
direction	25
directions	4
directly	26
director	5
direful	4
direfull	2
direnesse	1
direst	1
dirge	1
dirges	1
dirt	5
dirty	2
dis	1
dis-eate	1
dis-hearten	1
dis-heartens	1
dis-ioynes	1
dis-ioynt	1
disable	1
disabled	3
disabling	1
disappointed	1
disarm	1
disarm'd	1
disasters	3
disastrous	1
disbranch	1
disbursed	1
discandy’d	1
discard	2
discarded	2
discase	1
discern	1
discern'st	1
discerne	2
discerning	1
discernings	1
discerns	1
discharg'd	2
discharge	14
discharged	1
discipline	7
disciplines	7
disclaim	6
disclaimer	15
disclaimers	5
disclaiming	1
disclaims	1
disclos'd	4
disclose	3
discloses	1
discolour	1
discolour'd	1
discomfited	1
discomfort	4
discommend	1
disconsolate	1
discontent	5
discontented	4
discontinue	6
discontinued	1
discord	6
discords	4
discouer	7
discouer'd	2
discouered	2
discouers	1
discouery	3
discourse	29
discourses	2
discover	7
discover'd	1
discovered	6
discovering	1
discovers	5
discovery	5
discreet	5
discreetly	1
discretion	19
discusse	4
discusses	1
disdain	7
disdain'd	2
disdaine	5
disdainefull	2
disdaineth	1
disdainful	2
disdainfull	3
disdains	2
disdayning	1
diseas'd	3
disease	10
diseased	1
diseases	6
disfigure	3
disgest	1
disgestions	1
disgorge	1
disgrac'd	6
disgrace	24
disgraced	1
disgracious	2
disguis'd	3
disguise	7
disguised	5
disguises	1
disguising	1
dish	10
dishclout	1
dishes	4
dishonest	7
dishonesty	2
dishonor	1
dishonors	1
dishonour	6
dishonour'd	4
dishonourable	2
dishonoured	2
disimbarke	1
disinherited	1
disjoint	1
disk	5
dislike	7
dislikes	1
dislocate	1
disloyall	5
disloyaltie	1
dismaid	1
dismaie	1
dismal	6
dismall	3
dismantle	1
dismantled	1
dismay	3
dismay'd	2
dismayed	1
dismay’d	1
dismemb'red	1
dismember	1
dismiss	1
dismiss'd	1
dismisse	6
dismissed	1
dismissing	1
dismount	1
dismounted	1
disnatur'd	1
disobedience	1
disobedient	2
disobey	2
disobeys	1
disorder	2
disorder'd	3
disordered	1
disorders	3
dispach	1
dispaire	2
disparage	2
disparagement	1
dispatch	26
dispatch'd	4
dispatcht	1
dispense	1
dispers'd	2
disperse	3
dispersed	2
dispersedly	1
dispight	1
dispise	1
displac'd	1
displant	1
displanting	1
display	5
display'd	2
displayed	5
displaying	20
displeas'd	4
displease	3
displeasure	18
displeasures	1
disports	1
dispos'd	5
dispose	9
disposed	4
disposee	1
disposing	1
disposition	28
dispositions	2
dispossess	1
dispraise	2
dispraisingly	1
disprayse	1
disprooue	1
disproportioned	1
disproportions	1
disproportion’d	1
disproue	1
disputable	1
disputations	1
dispute	3
disputed	1
disputes	1
disquantity	1
disquiet	2
disquietly	1
disrellish	1
disrobe	1
dissemble	6
dissembled	1
dissembler	2
dissemblers	1
dissembling	5
dissembly	1
dissention	1
dissentions	1
dissentious	1
dissipation	1
dissolu'd	1
dissolutions	1
dissolve	3
dissolves	1
dissuade	3
dissuaded	1
disswade	1
distaff	2
distain	1
distance	11
distant	3
distaste	2
distemp'rature	1
distemper	5
distemper'd	2
distemperature	1
distempered	3
distemper’d	1
distempring	1
distil'd	1
distill	1
distill'd	8
distillation	1
distilled	2
distills	1
distilment	1
distime	1
distinct	1
distinction	1
distinctly	4
distinguish	4
distinguish'd	1
distinguishes	1
distract	5
distracted	7
distractedly	1
distraction	5
distractions	1
distraught	2
distress	6
distress'd	1
distressed	4
distressefull	2
distresses	1
distressful	1
distribute	30
distributed	69
distributing	35
distribution	55
distributor	5
distrust	3
disturb	2
disturb'd	3
disturbe	1
disturbed	1
disturbers	1
disturb’d	1
dit	4
ditch	1
ditch-deliuer'd	1
ditch-dog	1
ditchers	1
dites	2
ditties	1
ditty	3
diuel	2
diuelish	2
diuell	41
diuellish	2
diuells	1
diuels	8
diuers	4
diuert	1
diuide	3
diuided	2
diuine	7
diuinitie	3
diuision	3
diuorce	2
diuorcement	1
diux	1
div'd	1
dive	2
divers	6
diversity	1
divert	1
diverted	1
divest	1
divide	6
divided	9
divideth	1
divine	9
divinely	1
divines	2
divinest	1
divining	1
divinity	5
division	7
divisions	2
divorce	1
divorced	2
divulged	1
divulging	1
dizzy	2
do	1571
do's	31
do'st	17
do't	19
do't.--dost	1
do't;--and	1
do,--that	1
doat	3
doate	2
doating	1
dobbin	1
dobbins	1
docks	3
doct	28
doctor	31
doctors	3
doctrine	2
document	1
doe	315
doer	1
doers	2
does	110
does't	1
does--what	1
doest	5
doeth	1
doff	2
doffe	1
dog	58
dog'd	1
dog's	2
dog-apes	1
dog-hearted	1
dog-weary	1
dogb	10
dogbery	2
dogge	17
dogged	1
dogges	3
dogs	17
doing	26
doit	1
doite	1
dol	2
dole	4
doleful	1
doll	2
dollar	1
dollars	1
dolour	2
dolours	1
dolph	25
dolphin	27
dolphin's	1
dolphins	4
dolt	1
domain	40
dombe	1
domestic	2
domesticke	2
domestique	1
domineer	1
dominions	3
don	17
don't	3
donal	2
donalbaine	7
donalbane	2
donate	15
donation	6
donations	75
donc	1
done	259
done,--must	1
done--that	1
dong	2
donn'd	1
donneray	1
donnes	2
donors	5
doo's	2
doo'st	3
doo't	8
dooing	1
doom	18
doom'd	1
doome	2
doomes	1
doomesday	1
doomsday	6
door	23
door.--o	1
doore	21
doores	8
doors	16
doost	4
dore	1
dores	1
dormouse	1
dorset	28
dorsetshire	1
dos't	1
dost	188
dotage	7
dotard	2
dote	9
dotes	8
doth	467
doting	6
double	41
double-dealer	1
double-dealing	1
double-vantage	1
doubler	1
doublet	16
doublets	1
doubly	2
doubt	94
doubted	3
doubtful	10
doubtfull	5
doubting	2
doubtlesse	1
doubts	6
douce	1
doue	4
douer	1
doues	2
dough	2
doute	1
douts	1
dove	8
dove-drawn	1
dove-feather'd	1
dovehouse	2
dover	15
doves	1
dow'r	1
dow'r'd	1
dow'rless	1
dowager	2
dowdy	1
dower	6
dowerless	1
dowers	2
dowle	2
down	150
down-gyved	1
down-raz'd	1
down:--he	1
downe	96
downe-right	2
downey	1
downfall	2
download	24
downloading	5
downright	2
downward	1
dowre	1
dowrie	2
dowry	12
doyt	1
doyts	4
dozen	10
do’t	1
dr	11
drab	2
drabbing:--you	1
drachmaes	2
drag	1
dragg'd	1
dragging	1
dragon	3
dragon's	1
dragons	2
drain	1
drain'd	1
drains	1
dram	6
dramatis	7
drank	1
draught	2
draughtes	1
draughts	1
drave	2
draw	104
drawbridge	1
drawe	1
drawer	1
drawes	7
drawest	1
drawing	3
drawn	25
drawn:--there	1
drawne	3
draws	17
dread	21
dread-bolted	1
dreaded	1
dreadful	14
dreadfull	11
dreadfully	1
dreading	1
dream	48
dream'd	3
dream'st	2
dream:--ay	1
dreame	31
dreamer	1
dreamers	1
dreames	6
dreaming	4
dreampt	1
dreams	21
dreamt	9
dregs	4
drench	3
drench'd	1
drenched	2
dress	3
dress'd	4
dresse	4
dressed	5
dresser	1
dressing	1
dressings	1
drest	3
drew	16
drew'st	1
dreyne	1
dri'd	1
drie	1
dried	5
drier	1
dries	1
drift	8
drink	48
drink!--i	1
drink!--o	1
drink'st	2
drink.--hamlet	1
drinke	20
drinkes	4
drinking	11
drinks	10
drissels	1
driu'st	1
driue	6
driuen	2
driues	1
drive	5
drivel	1
drivelling	1
driven	3
drives	2
driveth	1
driving	3
drizel'd	1
drizzle	1
droict	1
drollery	1
drone	1
drones	1
droop	2
droope	1
drooping	3
drop	32
dropp'd	2
dropped	1
droppes	3
droppeth	1
dropping	3
droppings	1
dropp’d	2
drops	24
dropsy	1
dropt	2
dross	1
drosse	1
drossy	1
drouier	1
drown	21
drown'd	13
drown'd--what	1
drowne	6
drowned	15
drowning	7
drowns	3
drown’d	4
drowse	1
drowsie	7
drowsily	1
drowsiness	1
drowsy	2
drudge	4
drugg'd	1
drugge	1
drugges	1
drugs	5
drum	28
drumme	4
drums	4
drunk	15
drunk!--what	1
drunkard	7
drunkard's	1
drunkards	6
drunke	18
drunken	13
drunkenly	1
drunkenness	2
drunkennesse	1
dry	29
dry-beat	2
dryden	20
dryden’s	3
du	25
dub	1
dubb'd	2
dubbed	1
dublet	1
ducat	3
ducate	1
ducates	7
ducats	32
ducdame	4
duchess	53
duck	5
ducke	2
duckets	1
dudgeon	1
due	36
due-west	1
duellist	2
duello	1
dues	2
duetie	1
duff	1
dug	4
dugs	2
duk	6
dukates	1
duke	332
duke's	18
dukedom	13
dukedome	1
dukedomes	6
dukes	19
dulcet	5
dull	46
dull'd	1
dull-brain'd	1
dullard	1
duller	2
dullest	1
dulling	2
dullness	1
dulls	1
dully	2
dulness	2
dulnesse	1
duly	1
dum	1
dumb	14
dumbe	8
dumbly	1
dumbness	2
dump	2
dumps	3
dun	2
dun's	1
duncan	10
duncane	3
duncans	3
dungeon	3
dungeons	1
dunghill	2
dunghills	2
dunnest	1
dunsinane	8
dunsmane	1
dupp'd	1
durance	1
during	3
durst	23
durt	1
durtie	2
durty	1
dusky	2
dust	19
dusty	1
dut	7
dutches	1
dutchesse	2
dutchman	1
dutchman's	1
duteous	5
dutie	15
duties	12
dutifull	1
dutious	1
duty	63
dwarfe	1
dwarfish	2
dwell	28
dwellers	1
dwelling	4
dwelling-place	1
dwells	8
dwels	2
dwelt	1
dwindle	1
dy	1
dy'd	7
dy'de	5
dy'st	1
dyce	7
dyde	1
dye	56
dyed	6
dyer's	1
dyes	6
dyest	4
dyet	1
dying	13
dyre	1
d’avenant	1
e	116
e'en	17
e'er	16
e'ne	1
e-mail	5
e-text	1
each	107
eager	3
eagerly	1
eagle	2
eagles	5
eale	1
eanelings	1
eaning	1
ear	50
ear-kissing	1
eare	38
eare-piercing	1
earely	2
eares	23
earl	24
earldom	3
earle	5
earles	3
earlier	1
earliest	3
earliness	1
earls	1
early	30
earn	1
earne	2
earned	2
earnes	1
earnest	21
earnestly	2
earnestnesse	1
ears	44
earth	122
earth's	3
earth-bound	1
earth-quake	1
earth-treading	1
earth;--why	1
earthen	1
earthlier	1
earthly	11
earthquake	3
earthquakes	1
earthy	2
earth’d	1
earth’s	1
eas'd	1
ease	22
eased	1
easie	11
easier	5
easily	14
easiness	2
easing	1
east	15
easter	1
eastern	1
easterne	2
eastward	1
easy	13
easy-borrowed	1
eat	40
eate	31
eaten	7
eater	2
eates	1
eating	2
eats	7
eaves	1
eaves-dropper	1
ebb	5
ebbe	2
ebbing	2
ebbs	1
ebony	1
ebook	29
ebooks	35
eccho	2
ecchos't	1
ecclipse	1
echo	4
echoes	1
eclipse	3
eclipses	5
ecstacy	1
ecstasy	5
ed	4
edd	10
edg	98
edgar	37
edge	14
edged	1
edgeless	2
edges	1
edict	2
edifice	1
edified	3
edition	6
editions	28
editor	1
editors	3
edm	79
edmund	52
edmund's	1
education	6
educational	5
edward	73
edward's	23
edwards	2
eech	1
eel	1
eels	1
eeuen'd	1
effect	37
effects	14
effectual	1
effectually	1
effeminate	3
effigies	1
effort	10
efforts	15
effusion	1
eftest	1
egal	1
egally	1
ege	8
egeus	13
egg	7
egg-shell	1
egge	2
egges	1
eggs	2
egipt	1
eglantine	1
egregious	2
egregiously	1
egypt	1
egyptian	1
egyptians	1
eie	9
eie-bals	1
eie-lids	1
eies	22
eight	19
eighth	1
eighty	1
ein	5
eine	1
eisel	2
either	74
either's	3
either’s	1
eke	2
elbow	12
elbowes	1
elbows	1
elder	17
elders	2
eldest	10
eldest-born	1
eld’st	1
elect	5
election	7
electronic	183
electronically	10
elegies	1
element	7
element's	1
elements	15
elephant	3
elephants	1
eleue[n]th	1
eleuen	1
eleven	7
elf	1
elfe	1
elflocks	1
eliads	1
elizabeth	109
elizium	1
ell	1
elme	1
eloquence	7
eloquent	4
els	1
else	188
else,--be	1
elsewhere	5
elsinore	8
elue	2
elues	5
elves	1
elvish-mark'd	1
ely	11
elysium	1
em	51
email	14
embark'd	3
embarke	1
embarked	1
embassador	3
embassadors	2
embassage	4
embassie	3
embassy	2
embattail'd	1
embay'd	1
emboss'd	1
embossed	2
embowell'd	1
embrac'd	1
embrace	24
embraced	2
embracements	2
embracing	1
embry-riddle	1
emendation	1
emendations	2
emil	12
eminence	2
eminent	1
emnity	1
emperie	1
emperor	5
emperour	1
emperour's	1
emperours	1
empery	1
emphasis	4
empire	4
employ	5
employ'd	3
employed	1
employee	5
employees	10
employment	10
empresse	2
emptie	3
empties	1
empty	21
empty-hearted	1
emptying	3
emulate	1
emulation	3
emulator	1
en	8
en-mash	1
enact	3
enacted	1
enacts	1
enactures	1
enammel'd	1
enamor'd	1
enamored	1
enamoured	1
enanmour'd	1
encamp	1
encampe	1
encaue	1
enchafed	1
enchant	1
enchanted	2
enchantingly	1
enchantment	1
enchaunted	1
enclogge	1
enclos'd	1
enclose	1
enclosed	1
encloseth	1
encompasseth	1
encompassment	1
encore	1
encounter	20
encounter'd	1
encounters	1
encountred	1
encourag'd	1
encourage	2
encouragement	1
encrease	1
encreaseth	1
encumber'd	1
encurre	2
end	151
end,--what	1
endart	1
endeared	1
endeauour	2
endeavour	4
endeavours	1
ended	12
endeuors	2
endeuour	1
endimion	1
ending	5
endings	2
endite	1
endless	1
endlesse	1
endnotes	1
endow	1
endow'd	2
endow’d	1
ends	18
endue	1
endues	1
endur'd	11
endure	36
enemie	14
enemies	39
enemy	50
enemy's	1
enernies	1
enfeebled	2
enfetter'd	1
enflame	1
enfold	1
enforc'd	5
enforce	9
enforced	9
enforcement	4
enforces	2
enformed	1
enfranchisde	1
enfranchise	1
enfranchisement	1
eng	3
engag'd	1
engagde	1
engage	2
engagements	1
engend'red	1
engenders	1
engendred	3
engilds	1
engine	2
enginer	1
engines	2
england	103
england's	12
englands	2
english	59
english-woman	1
englishman	3
englishmans	1
englishmen	2
englut	1
engluts	1
englutted	1
engraft	1
engrafted	1
engrave	1
engross	1
engross'd	2
engrossing	1
enguard	1
enigmaticall	1
enioy	5
enioy'd	1
enioyes	1
enioying	1
enioynd	1
enioyne	1
enjoin'd	1
enjoin’d	1
enjoy	13
enjoy'd	4
enjoyer	1
enjoys	2
enkindle	2
enlarg'd	2
enlarge	2
enlighten	1
enlynckt	1
enmity	9
ennemie	1
ennoble	1
enormous	1
enough	139
enow	8
enpierced	1
enquier	1
enquire	8
enquired	1
enrag'd	1
enrage	1
enraged	3
enrages	1
enrich	7
enrich'd	1
enriches	1
enricht	1
enridged	1
enrings	1
enrobe	1
enrounded	1
enschedul'd	1
ensconce	1
enseamed	1
ensembe	1
enshelter'd	1
ensign	1
ensigne	2
ensignie	1
ensigniez	1
ensman	1
ensnar'd	1
ensnare	1
ensnareth	1
ensteep'd	1
ensue	4
ensues	1
ensuing	3
ensuring	5
ent'red	1
entame	1
entendre	1
enter	1013
enter-tissued	1
entered--an	1
enterlude	1
enterprise	6
enterprises	2
enterprize	11
enterred	1
enters	4
entertain	10
entertain'd	3
entertain'st	1
entertaine	5
entertained	1
entertainer	1
entertainest	1
entertainment	14
entertain’d	5
enterview	1
enter’d	1
enthral'd	1
enthralled	1
enthroned	1
entice	1
entire	3
entirely	1
entitle	1
entitled	1
entity	15
entombed	1
entrailes	2
entrails	3
entrance	8
entrances	1
entrap	1
entrayles	1
entre	1
entreat	44
entreate	3
entreated	7
entreaties	4
entreatments	1
entreats	4
entreaty	5
entred	5
entring	1
entrusted	1
entry	1
entwist	1
entyre	1
enuies	1
enuious	3
enuy	4
envenom	1
envenom'd	2
envenoms	1
envernes	1
envious	13
enviously	1
environ'd	1
environed	1
envy	12
enwheele	1
enwraps	1
epicures	1
epicurism	1
epicurus	1
epigram	1
epilepsie	1
epileptic	1
epilogue	11
epilogues	1
epistles	2
epitaph	7
epitaphes	1
epithite	1
epithites	1
equal	5
equalities	1
equall	3
equally	4
equals	1
equinoctial	1
equinox	1
equipage	1
equipment	15
equity	1
equiuocall	1
equiuocate	1
equiuocates	1
equiuocation	1
equiuocator	3
equivocation	1
ercles	2
ere	164
erebus	1
erect	1
erewhile	2
ergo	4
eriall	1
ermengare	1
ermites	1
erne	2
erobus	1
erp	2
erping	3
erpingham	5
err	2
err'd	1
errand	5
errands	1
erre	3
erres	3
errest	1
erring	4
erroneous	1
error	15
errors	13
errour	1
erst	3
eruption	1
eruptions	1
es	1
escalus	2
escap'd	1
escape	7
escaped	3
escapedst	3
escapes	2
eschapper	1
escholier	1
escoted	1
escoute	3
escues	1
escus	1
eson	1
especial	1
especiall	1
especially	12
esperance	1
espials	1
espie	1
espies	1
espous'd	1
espouse	2
esquire	1
esquires	2
essay	1
essays	1
essence	1
essentiall	1
essentially	1
est	9
establish	2
establish'd	1
established	1
establisht	1
estate	22
estates	2
este	1
esteem	7
esteem'd	5
esteem'st	1
esteemd	1
esteeme	4
esteemed	1
esteemes	2
esteeming	1
estes	3
estimable	2
estimate	1
estimation	7
estime	1
estre	1
et	9
etc	1
eternal	12
eternall	6
eternally	1
eterne	2
eternity	4
etext	29
ethiop's	1
ethiope	3
eu'n	4
euades	1
euen	111
euen-handed	1
euening	4
euenly	2
euent	2
euents	4
euer	118
euer-burning	1
euer-fixed	1
euer-running	1
euerie	14
euerlasting	5
euermore	7
euery	126
euidence	1
euill	11
euills	3
euils	4
eunuch	3
europa	2
europe	3
ev'n	4
evasion	1
eve	3
eve's	2
even	152
evening	3
event	8
eventful	1
events	3
ever	139
ever-angry	1
ever-fixed	1
ever-gentle	1
ever-harmless	1
ever-preserved	1
everlasting	3
everlastingly	1
evermore	7
every	133
everything	12
everywhere	4
evidence	4
evident	2
evil	15
evils	5
ewe	4
ewer	2
ewers	1
ewes	7
ex	1
exact	6
exact'st	1
exaction	1
exactly	3
exalt	1
exalted	3
examination	2
examine	10
examined	2
examines	1
exampl'd	1
example	10
examples	2
exasperate	2
exasperates	1
exceed	5
exceeded	2
exceedes	2
exceeding	9
exceedingly	2
exceeds	1
excel	2
excellence	8
excellences	1
excellencie	1
excellency	1
excellent	70
excellently	4
excelling	1
excels	3
except	28
excepted	5
excepting	2
exception	3
exceptions	2
excess	4
excesse	4
exchang'd	1
exchange	14
exchequer	2
excite	1
excitements	1
excites	1
exclaim	2
exclaim'd	1
exclaime	2
exclaims	2
exclamation	1
exclamations	1
exclusion	5
excommunication	1
excrement	1
excrements	1
excursions	2
excus'd	3
excuse	32
excuse.--ho	1
excused	1
excuses	1
excusing	1
exe	18
execute	5
executed	4
executing	1
execution	12
executioner	4
executioners	1
executive	5
executor	2
executors	2
exempt	12
exercise	7
exercises	2
exet	3
exeter	24
exeunt	359
exhalations	1
exhale	2
exhales	2
exhibit	1
exhibiters	1
exhibition	4
exhort	1
exhortation	1
exigent	1
exil'd	3
exile	11
exist	2
exists	5
exit	331
exits	1
exorcist	1
expect	15
expectancie	1
expectancy	1
expectation	10
expectations	1
expecting	1
expects	1
expedience	1
expedient	2
expediently	1
expedition	8
expeditious	1
expel	2
expell	1
expell’d	1
expence	2
expend	7
expense	10
expenses	11
experience	6
experimental	1
expert	2
expiate	2
expiration	1
expire	3
expired	1
expires	1
explanation	10
exploit	8
exploits	2
exporting	5
expose	2
exposed	1
exposing	1
exposition	3
expostulate	3
exposure	1
expound	3
expounded	1
expresly	1
express	16
express'd	5
expresse	1
expressely	2
expressing	3
expressly	3
expressure	1
exprest	4
exquisite	9
extant	2
extasie	5
extempore	1
extemporie	1
extend	7
extent	9
extenuate	3
extenuated	1
exterior	2
extermin'd	1
extern	1
external	2
externe	1
extincted	1
extirpate	1
extolment	1
extort	3
extorted	1
extract	1
extracted	1
extracting	1
extraordinary	1
extrauagant	1
extravagancy	1
extravagant	1
extreame	1
extreamely	1
extreamest	1
extreme	8
extremes	3
extremest	3
extremitie	1
extremities	2
extremity	11
exufflicate	1
exult	2
ey'd	2
eyases	1
eyde	1
eye	192
eye's	3
eye-bals	1
eye-lid	1
eye-lids	1
eye-offending	1
eye-sore	1
eyeball	1
eyeballs	1
eyebrow	1
eyed	2
eyeless	4
eyelids	6
eyes	320
eyes.--pray	1
eyesight	3
eyne	5
eyther	5
eythers	1
e’er	10
e’th	1
f	455
fa	4
